Perguntas,Opção1,Opção2,Opção3,Opção4,Resposta Correta
Qual é o planeta mais próximo do Sol?,Marte,Vênus,Mercúrio,Júpiter,3
"Quem escreveu ""Dom Quixote""?",José Saramago,Miguel de Cervantes,Fernando Pessoa,Gabriel García Márquez,2
Qual é o maior oceano do mundo?,Atlântico,Índico,Pacífico,Ártico,3
O animal símbolo da Austrália é:,Canguru,Urso panda,Girafa,Elefante,1
Qual é a capital do Canadá?,Toronto,Vancouver,Ottawa,Montreal,3
Quem pintou a Mona Lisa?,Leonardo da Vinci,Michelangelo,Rafael,Van Gogh,1
Quantos continentes existem no mundo?,5,6,7,8,3
O corpo humano tem quantos ossos?,106,206,306,406,2
Qual é o gás essencial para a respiração humana?,Hidrogênio,Oxigênio,Nitrogênio,Carbono,2
O símbolo químico do Ouro é:,Ag,Au,Fe,Pt,2
