Perguntas,Opção1,Opção2,Opção3,Opção4,Resposta Correta
Em que ano ocorreu a Queda de Constantinopla?,1204,1453,1492,1517,2
Quem foi o primeiro imperador romano?,Júlio César,Augusto,Nero,Trajano,2
A Revolução Francesa começou em:,1776,1789,1815,1848,2
Quem liderou a independência da Índia?,Gandhi,Nehru,Bose,Akbar,1
O Muro de Berlim caiu em:,1986,1988,1989,1990,3
A Primeira Guerra Mundial começou em:,1912,1914,1916,1918,2
Onde surgiu a democracia pela primeira vez?,Roma,Esparta,Atenas,Alexandria,3
Quem foi o descobridor do Brasil?,Cristóvão Colombo,Vasco da Gama,Pedro Álvares Cabral,Fernão de Magalhães,3
O Tratado de Tordesilhas dividia terras entre:,França e Espanha,Portugal e Espanha,Portugal e Inglaterra,Espanha e Inglaterra,2
Quem foi o faraó conhecido por construir a Grande Pirâmide de Gizé?,Ramsés II,Quéops,Tutancâmon,Amenófis III,2
